difficulty,question,related,random,answers
6,abbreviate,"hyphenate, postnominals, define, bolden, italicising, ampersand, parenthesis","been, prosaic, lineation, exclude, agreeing, depicting, joyful, provenance, deplorably, revile","reduce, shorten, contract, abridge"
4,abdicate,"reappraise, temporise, re-regulate, cancell, regent, devaluate","ingratiate, blatant, suppressing, refurbish, insistent, sternal, destabilize, regain, comparable, angy","resign, renounce, relinquish"
6,aberration,"deviance, lightcone, paradigmatic, hypochromic, trichromatic, misogeny, assymetry, deviance, inexplicable, astigmatism","stubborn, subtract, repetive, notice, theoric, excuses, sullen, inside, atribute, necssary","anomaly, deviance, oddity, abnormality"
4,abhor,"discourageconfess, cruelty, gutlessness, affronting, immoderate","familiarising, positionality, restiction, learn, reinvigorate, reconfigure, protracted, sudden","despise, detest, hate"
3,abolish,"disfranchise, homogenise, divest, undermine, improve, restore, depopulate, amalgamate, deregulate, legalise","euphoria, imperiousness, accelerational, explicates, employ, buffet, storm, apprehend, militants","repeal, eradicate"
4,abrasive,"incisive, disdainful, unthoughtful, uncomplimentary, soft-edged","theorizes, neglection, summarizing, apathetic, prooftext, tiresome, unappeased, homogenise, subtract, fidget","scratchy, grating"
4,abruptly,"lurched, noisily, incoherently, heartlessly, unsatisfactorily, curtailed, started","heartless, reconize, landmark, profess, equitable, shapen, bloodthirst, inattentive, clarifiy","precipitously, suddenly"
5,absolve,"temporise, salving, eliminate, apoligize, responsibily, insinuate, plagerize, justify, immolate","rambunctious, dictatorship, supplant, methodological, collusion, merely, interviwed, counteraction, electrify, subtext","exonerate, exculpate"
5,abstract,"cubist, declarative, information, hyper-text, axiomatic, reified","doughty, pictorially, atypical, fondle, shockable, remedying, untoward, eggregious","conceptual, nonrepresentational"
6,accolade,"earns, excellance, desrves, film-critic, honorable, highest, pinnacle","enflame, efficiently, redivide, coddle, perusal, friable, remarkably, entend, contrasting, verbatim","commendation, plaudit, honor"
6,accommodate,"pre-arrange, predefine, universalize, operationalise, outgrow, conﬂict, restablish","unanimous, receptivity, uninterrupted, technobabble, disfranchising, obervations, organiser, disbenefits, riot, traitorous","adjust, allow, lodge"
2,accomplish,"invlove, impossible, trying, embody, undoable","sullen, redirections, antithesis, tortuous, blubbing, hesistate, solution, boisterous, demeaningly, nonbiased","attain, fulfil, acheive"
3,accumulate,"trasfer, induce, rewarm, divy, deteriorate, drift, disposible, aggragate","innovate, aquatic, exhilarating, purblind, saddened, inconsolable, cringeworthy, redescribe, chapbook, stereopsis","gather, hoard, collect"
3,accurate,"traceable, coherent, non-bias, comprehensive, descriptive","beauty, oversimplify, monumental, extra, revert, smirked, frequently, postulate, rebuke, prolife","exact, precise, truthful"
4,acknowledge,"clairify, admire, internalize, chastize, jusify, apprecaite, castigate, apologise","intend, awkward, petulant, select, product, transgress, tame, plentiful, gradational","accept, recognize, admit"
4,acquire,"attract, securitize, bring, actualize, appraise, promote, deprive, commodify, engage","satisifies, correctitude, unsophisticated, embellish, unflagging, annualise, supposable, snippit, recognition, settlers","gain, obtain"
3,adapt,"react, recreate, recompose, re-envision, institutionalize, reevaluate, finetune","solution, repare, compare, penurious, sere, expose, retorted, poliical, chorismate, construct","adjust, modify"
