difficulty,question,answers,related,random
6,abbreviate,"cut, abreviations, reduce, shorten, unabbreviated, abreviated, abreviation, foreshorten, contract, acronym, italicize, acronyms, abridge","hyphenate, five-letter, postnominals, define, bolden, post-nominals, italicising, ampersand, parenthesis, t-word","been, prosaic, lineation, exclude, agreeing, depicting, joyful, provenance, deplorably, revile"
4,abdicate,"renounce, accede, resign, disinherit, relinquish, enthrone, cede","reappraise, depoliticize, temporise, over-rule, re-regulate, cancell, divest, regent, godking, devaluate","ingratiate, blatantly, suppressing, refurbishing, insistent, sternal, destabilize, regain, comparable, angy"
6,abdicate,"renounce, accede, resign, disinherit, relinquish, enthrone, cede","reappraise, depoliticize, temporise, over-rule, re-regulate, cancell, divest, regent, godking, devaluate","chill, relatioship, vividness, preciousness, refulgent, uninterruptible, neaten, unconfident, unknowable, solidarities"
6,aberration,"anomaly, deviance, epiphenomenon, phenomenon, oddity, astigmatism, anomoly, abnormality","lightcone, paradigmatic, hypochromic, bastardization, trichromatic, misogeny, assymetry, deviance, inexplicable, astigmatism","stubborn, subtract, repetive, notice, theoric, excuses, sullen, inside, atribute, necssary"
4,abhor,"loathe, abominate, loath, detest, hate, adore, dislike, revile, execrate, deplore, despise","discourage, confess, islamaphobe, cruelty, un-christian, gutlessness, affronting, blasphemers, immoderate, idolater","familiarising, clientage, positionality, restiction, learn, reinvigorate, reconfigure, protracted, disagreee, suddenly"
3,abolish,"reduce, reinstate, eradicate, repeal, reinstitute, eliminate, deregulate, legalise, dismantle","disfranchising, homogenise, divest, undermine, improve, restore, depopulate, amalgamate, re-imposed, centralize","euphoria, imperiousness, accelerational, explicates, employ, buffeting, refute, storm, apprehend, militants"
4,abrasive,"scratchy, caustic, sarcastic, harsh, brusque, pugnacious, confrontational","anti-rust, mud-like, incisive, disdainful, over-emotional, anti-static, unthoughtful, uncomplimentary, soft-edged, corrosion-resistant","theorizes, neglection, summarizing, apathetic, prooftext, tiresome, unappeased, homogenise, subtract, fidget"
4,abrasive,"scratchy, caustic, sarcastic, harsh, brusque, pugnacious, confrontational","anti-rust, mud-like, incisive, disdainful, over-emotional, anti-static, unthoughtful, uncomplimentary, soft-edged, corrosion-resistant","incriminated, harmonicity, intermittently, specifical, lackadaisical, sperate, archeologic, mythologist, unreadable, impetuosity"
4,abruptly,"dead, sharply, inexplicably, precipitously, ended, short, suddenly, gradually, mysteriously, unexpectedly, immediately","lurched, noisily, incoherently, climaxed, heartlessly, unsatisfactorily, stoppped, curtailed, mid-flow, started","heartless, reconize, landmark, profess, equitable, shapen, bloodthirst, promply, inattentive, clarifiy"
5,absolve,"justify, shrive, exonerating, exonerate, expiate, free, exculpate, abnegate, exculpating, implicate, incriminate, exonerates, blame","temporise, salving, prove, eliminate, apoligize, responsibily, insinuate, plagerize, justify, immolate","rambunctious, dictatorship, supplant, methodological, collusion, merely, interviwed, counteraction, electrify, subtext"
